time_window,src_mac,protocol,pkt_count,pkt_rate,byte_mean,byte_rate,iat_mean,iat_std,label
40,51,1,4,0.2,54.25,10.85,5528.666666666667,5050.021023058551,0
40,51,2,13,0.65,87.23076923076923,56.7,1406.25,2211.181343042262,4
40,52,1,8,0.4,57.0,22.8,2711.0,3945.622257642007,0
40,52,2,10,0.5,88.0,44.0,1978.3333333333333,1937.3841900872424,4
60,2,1,3,0.15,51.0,7.65,4914.0,6916.918533566808,0
60,2,2,9,0.45,66.66666666666667,30.0,2156.25,1528.0121306549145,0
60,3,1,2,0.1,51.0,5.1,9973.0,0.0,0
60,3,2,10,0.5,72.5,36.25,1593.6666666666667,1351.5043470148366,0
60,4,1,2,0.1,51.0,5.1,9906.0,0.0,0
60,4,2,8,0.4,71.625,28.65,2164.0,1386.3508454452165,0
60,5,1,4,0.2,52.0,10.4,5145.666666666667,856.1713224193702,0
60,5,2,8,0.4,71.625,28.65,1455.4285714285713,968.7445237940457,0
60,6,1,4,0.2,52.0,10.4,4763.0,855.3899695460544,0
60,6,2,9,0.45,74.44444444444444,33.5,1951.5,1762.1469859237056,0
60,7,1,4,0.2,52.0,10.4,5242.0,211.31019852340302,0
60,7,2,12,0.6,73.08333333333333,43.85,1683.5454545454545,973.005484428157,0
60,8,1,16,0.8,60.0,48.0,1191.8666666666666,1014.0147833993256,0
60,8,2,10,0.5,67.6,33.8,1811.2222222222222,1495.384212984892,0
60,9,1,45,2.25,59.22222222222222,133.25,442.29545454545456,521.1143060585252,1
60,9,2,14,0.7,70.0,49.0,1344.7692307692307,891.4848244965768,0
60,10,1,20,1.0,53.0,53.0,875.0,1010.2109790643846,0
60,10,2,8,0.4,62.875,25.15,2207.5714285714284,1475.2966771854012,0
60,11,1,4,0.2,53.0,10.6,4797.333333333333,520.3924800891469,1
60,11,2,7,0.35,88.0,30.8,2782.5,1977.138310791635,0
60,12,1,6,0.3,61.0,18.3,2859.8,2537.69594317365,1
60,12,2,8,0.4,86.5,34.6,2125.5714285714284,1701.3515075906428,0
60,13,1,4,0.2,53.0,10.6,4802.333333333333,497.13412006553443,1
60,13,2,8,0.4,89.125,35.65,2670.714285714286,1788.6810517143365,0
60,15,1,2,0.1,51.0,5.1,9515.0,0.0,0
60,15,2,4,0.2,87.75,17.55,1502.6666666666667,2297.1291503381635,0
60,16,1,2,0.1,51.0,5.1,9657.0,0.0,0
60,16,2,2,0.1,86.5,8.65,2539.0,0.0,0
60,17,1,3,0.15,51.0,7.65,5257.5,7324.919146311446,0
60,17,2,3,0.15,91.66666666666667,13.75,3199.0,4204.456920935211,0
60,18,1,3,0.15,51.666666666666664,7.75,5351.5,761.5540033379117,0
60,18,2,2,0.1,86.5,8.65,3188.0,0.0,0
60,19,1,4,0.2,51.5,10.3,4851.333333333333,575.9655661003818,0
60,19,2,4,0.2,81.25,16.25,888.0,1483.5016009428502,0
60,20,1,3,0.15,51.333333333333336,7.7,5597.5,523.9661248592317,0
60,20,2,4,0.2,87.75,17.55,2810.0,3484.251856568351,0
60,21,1,13,0.65,60.0,39.0,1527.3333333333333,625.8735471081176,0
60,21,2,2,0.1,86.5,8.65,10840.0,0.0,0
60,22,1,17,0.85,52.0,44.2,1198.25,1025.4191663250042,0
60,23,1,15,0.75,53.0,39.75,1318.642857142857,1061.0359674279775,0
60,23,2,2,0.1,76.0,7.6,15.0,0.0,0
60,24,0,5,0.25,25.0,6.25,1986.5,28.629821282478634,2
60,24,1,5,0.25,53.0,13.25,1796.75,446.7619612276766,0
60,24,2,2,0.1,86.5,8.65,9312.0,0.0,0
60,25,0,5,0.25,25.0,6.25,1991.5,21.43983830784803,2
60,25,1,13,0.65,53.0,34.45,794.75,983.6341822778703,0
60,25,2,2,0.1,86.5,8.65,2844.0,0.0,0
60,26,0,5,0.25,25.0,6.25,2000.0,18.920887928424534,2
60,26,1,33,1.65,59.78787878787879,98.65,592.53125,682.7002830022045,0
60,26,2,4,0.2,87.75,17.55,5148.333333333333,4809.073646070866,0
60,28,1,3,0.15,51.0,7.65,4988.5,7009.549521902246,0
60,28,2,8,0.4,69.0,27.6,1699.857142857143,2528.6844688211186,0
60,29,1,2,0.1,51.0,5.1,9070.0,0.0,0
60,29,2,12,0.6,69.0,41.4,1551.909090909091,1202.8480747413992,0
60,30,1,4,0.2,51.0,10.2,3007.6666666666665,5175.657671575018,0
60,30,2,7,0.35,68.0,23.8,2622.3333333333335,1765.0498765379598,0
60,31,1,5,0.25,52.0,13.0,3754.0,2558.368099655195,0
60,31,2,8,0.4,71.625,28.65,2312.285714285714,2184.01005143335,0
60,32,1,6,0.3,51.833333333333336,15.55,3106.2,2867.3000714958316,0
60,32,2,11,0.55,74.72727272727273,41.1,1452.1,1584.7983713323845,0
60,33,1,4,0.2,52.0,10.4,5257.666666666667,307.54891209908925,0
60,33,2,12,0.6,74.83333333333333,44.9,1696.0,1879.1931247213524,0
60,34,1,13,0.65,52.0,33.8,1602.0833333333333,756.7942506908914,0
60,34,2,9,0.45,74.44444444444444,33.5,1714.875,1127.3120289938743,0
60,35,1,17,0.85,52.0,44.2,1127.9375,913.3427592275166,0
60,35,2,12,0.6,74.83333333333333,44.9,1348.0,1426.6384265117774,0
60,36,1,16,0.8,53.0,42.4,1242.2,1011.210533399026,0
60,36,2,11,0.55,79.18181818181819,43.55,1677.4,1407.7297089048498,0
60,37,1,6,0.3,53.0,15.9,3168.6,1819.9434881336288,0
60,37,2,10,0.5,72.5,36.25,1705.7777777777778,928.8989150841143,3
60,38,1,6,0.3,53.0,15.9,2945.2,1663.5453705865673,0
60,38,2,9,0.45,74.44444444444444,33.5,1842.25,969.9722750087831,3
60,39,1,5,0.25,53.0,13.25,4195.25,404.36565548193306,0
60,39,2,11,0.55,74.72727272727273,41.1,1691.4,1497.206227908797,3
60,41,1,2,0.1,59.0,5.9,10257.0,0.0,0
60,41,2,7,0.35,93.14285714285714,32.6,2573.1666666666665,2974.256506535149,4
60,42,1,1,0.05,59.0,2.95,0.0,0.0,0
60,42,2,5,0.25,89.6,22.4,2773.25,2638.626457711158,4
60,43,1,2,0.1,51.0,5.1,10977.0,0.0,0
60,43,2,10,0.5,93.2,46.6,2181.3333333333335,1798.1524546044477,0
60,44,1,4,0.2,59.0,11.8,1729.0,2934.0967945860275,0
60,44,2,13,0.65,86.46153846153847,56.2,1596.8333333333333,1558.6004114025643,4
60,45,1,7,0.35,52.0,18.2,2510.3333333333335,2789.018298015749,0
60,45,2,10,0.5,90.6,45.3,2106.222222222222,2437.077336574374,0
60,46,1,2,0.1,59.0,5.9,10914.0,0.0,0
60,46,2,11,0.55,86.45454545454545,47.55,1831.3,1614.36186567118,4
60,47,2,5,0.25,99.0,24.75,3707.75,2889.5948245385543,4
60,48,1,10,0.5,52.0,26.0,2074.6666666666665,711.3379998284922,0
60,48,2,5,0.25,94.8,23.7,2918.0,3506.609283434165,0
60,49,1,5,0.25,61.0,15.25,2060.5,301.25570534016447,0
60,49,2,15,0.75,92.0,69.0,1355.142857142857,1717.2253047438905,4
60,50,1,25,1.25,60.48,75.6,682.625,1359.294504113455,0
60,50,2,18,0.9,82.38888888888889,74.15,1136.0588235294117,1633.2351128430741,4
60,51,1,4,0.2,56.0,11.2,4143.333333333333,4498.9795880103,0
60,51,2,9,0.45,88.77777777777777,39.95,2350.625,1724.901068591637,4
60,52,1,13,0.65,57.53846153846154,37.4,1505.8333333333333,2403.6864427690057,0
60,52,2,13,0.65,82.84615384615384,53.85,1586.9166666666667,1629.687391012228,4
80,2,2,3,0.15,83.0,12.45,336.0,431.335136523794,0
